item_no,series,product_name,material,size,packing,gross_weight,cbm,pdf_page,image,confidence
010101,Pliers Series,WISCUP,,6°/150MM,48/6,12,0.024,4,images/p004_c0_1.png,high
010102,Pliers Series,WISCUP,,7'/175MM,48/6,16.5,0.025,4,images/p004_c0_1.png,high
010103,Pliers Series,WISCUP,,"8""/200MM",48/6,19,0.032,4,images/p004_c0_1.png,high
010107,Pliers Series,Combination Pliers,Cr-V,6°/150MM,48/6,12,0.024,4,images/p004_c0_0.png,high
010108,Pliers Series,Combination Pliers,Cr-V,7'/175MM,48/6,16.5,0.025,4,images/p004_c0_0.png,high
010109,Pliers Series,Combination Pliers,Cr-V,"8""/200MM",48/6,19,0.032,4,images/p004_c0_0.png,high
010201,Pliers Series,Diagonal Cutting Pliers,Cr-V,6°/150MM,,12.5,0.025,4,images/p004_c1_3.png,high
010202,Pliers Series,Diagonal Cutting Pliers,Cr-V,"8""/200MM",48/6,13.5,0.031,4,images/p004_c1_3.png,high
010205,Pliers Series,Diagonal Cutting Pliers,Cr-V,"6""/150MM",48/6,12.5,0.025,4,images/p004_c1_2.png,high
010206,Pliers Series,Diagonal Cutting Pliers,Cr-V,"8""/200MM",48/6,13.5,0.031,4,images/p004_c1_2.png,high
010301,Pliers Series,Long Nose Pliers,Cr-V,6°/150MM,48/6,12.5,0.025,4,images/p004_c2_5.png,high
010302,Pliers Series,Long Nose Pliers,Cr-V,8°/200MM,48/6,13.5,0.031,4,images/p004_c2_5.png,high
010305,Pliers Series,Long Nose Pliers,Cr-V,"6""/150MM",48/6,12.5,0.02,4,images/p004_c2_4.png,high
010306,Pliers Series,Long Nose Pliers,Cr-V,"8""/200MM",48/6,13.5,0.024,4,images/p004_c2_4.png,high
010104,Pliers Series,Combination Pliers,Nickeling,6'/150MM,72/6,17,0.0375,5,images/p005_c0_0.png,high
010105,Pliers Series,Combination Pliers,Nickeling,7'/175MM,60/6,20,0.0225,5,images/p005_c0_0.png,high
010106,Pliers Series,Combination Pliers,Nickeling,"8""/200MM",48/6,18,0.026,5,images/p005_c0_0.png,high
010203,Pliers Series,uscup,,6°/150MM,72/6,18,0.03,5,images/p005_c1_2.png,high
010204,Pliers Series,uscup,,8°/200MM,48/6,18,0.026,5,images/p005_c1_2.png,high
010303,Pliers Series,Long Nose Pliers,Nickeling,6°/150MM,72/6,15,0.023,5,images/p005_c2_4.png,high
010304,Pliers Series,Long Nose Pliers,Nickeling,8°/200MM,48/6,12,0.02,5,images/p005_c2_4.png,high
010601,Pliers Series,Combination Pliers,Nickeling,6°/150MM,60/6,17.3,0.03,5,images/p005_c0_1.png,high
010602,Pliers Series,Combination Pliers,Nickeling,7°/175MM,48/6,17.7,0.03,5,images/p005_c0_1.png,high
010603,Pliers Series,Combination Pliers,Nickeling,"8""/200MM",48/6,20.6,0.0335,5,images/p005_c0_1.png,high
010604,Pliers Series,ENE000100V3,,6'/150MM,60/6,16.5,0.0335,5,images/p005_c1_3.png,high
010605,Pliers Series,ENE000100V3,,"8""/200MM",48/6,,0.0335,5,images/p005_c1_3.png,high
010606,Pliers Series,UNGCUP,,6°/150MM,60/6,14.6,0.032,5,images/p005_c2_5.png,high
010607,Pliers Series,UNGCUP,,8°/200MM,48/6,14.3,0.024,5,images/p005_c2_5.png,high
010701,Pliers Series,Combination Pliers,55#Steel,"4.5""/115MM",120/12,10,0.027,6,images/p006_c1_3.png,high
010702,Pliers Series,Long Nose Pliers,55#Steel,4.5/115MM,120/12,9.7,0.0265,6,images/p006_c2_5.png,high
010801,Pliers Series,Circlip Pliers,55#Steel,"7""/175MM",96/12,19,0.03,6,images/p006_c0_0.png,high
010802,Pliers Series,Circlip Pliers,55#Steel,"7""/175MM",96/12,19,0.03,6,images/p006_c1_2.png,high
010803,Pliers Series,Circlip Pliers,55#Steel,"7""/175MM",96/12,19,0.03,6,images/p006_c2_4.png,high
010804,Pliers Series,Circlip Pliers,55#Steel,"7""/175MM",96/12,19,0.03,6,images/p006_c0_1.png,high
010703,Pliers Series,Diagonal Cutting Pliers,55#Steel,"4.5""/115MM",,9.2,0.0265,7,images/p007_c0_0.png,high
010704,Pliers Series,End Cutting Pliers,55#Steel,"4.5""/115MM",,8.4,0.0265,7,images/p007_c1_2.png,high
012001,Pliers Series,3pcs Plier Set,55#Steel,"6""/ 6""/8""",,20.5,0.049,7,images/p007_c1_3.png,high
012003,Pliers Series,,55#Steel,"7""/175MM",,19,0.035,7,images/p007_c2_4.png,low
012005,Pliers Series,4pcs MiniPliersSet,55#Steel,4.5*/115MM,48/6,19.5,0.053,7,images/p007_c0_1.png,high
020101,Pliers Series,Sk-5,,215MM,,25,0.065,7,images/p007_c2_5.png,high
